Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Year,Month,Day,DayOfWeek,Store_Grouped
13,2011-09-23,1847430.96,0,63.6,3.648,129.5183333,6.877000000000002,2011.0,9.0,23.0,4.0,13
8,2010-08-27,888816.78,0,74.92,2.619,214.9362793,6.315,2010.0,8.0,27.0,4.0,999
14,2012-02-17,2020550.99,0,36.85,3.695,189.8424834,8.424,2012.0,2.0,17.0,4.0,999
10,2012-03-02,1990371.02,0,57.62,3.882,130.6457931,7.545,2012.0,3.0,2.0,4.0,999
5,2012-10-19,313358.15,0,69.17,3.594,224.0192873,5.4220000000000015,2012.0,10.0,19.0,4.0,5
4,2011-12-16,2771397.17,0,36.44,3.149,129.8980645,5.143,2011.0,12.0,16.0,4.0,999
18,2010-08-06,1166117.85,0,73.67,2.792,132.6141935,9.342,2010.0,8.0,6.0,4.0,999
3,2010-02-05,461622.22,0,45.71,2.572,214.4248812,7.3679999999999986,2010.0,2.0,5.0,4.0,3
13,2010-12-10,2461468.35,0,36.78,2.817,126.7934,7.795,2010.0,12.0,10.0,4.0,13
20,2010-06-25,1973135.87,0,75.17,2.8080000000000003,204.5675459,7.856,2010.0,6.0,25.0,4.0,999
15,2012-03-16,570611.23,0,47.42,4.021,137.5843871,7.943,2012.0,3.0,16.0,4.0,999
1,2011-11-18,1539483.7,0,62.25,3.3080000000000003,218.2205088,7.866,2011.0,11.0,18.0,4.0,999
9,2010-11-19,519823.3,0,49.96,2.7710000000000004,215.43728540000004,6.56,2010.0,11.0,19.0,4.0,999
2,2011-01-07,1758050.79,0,44.69,2.9760000000000004,211.0648881,8.027999999999999,2011.0,1.0,7.0,4.0,999
3,2012-05-11,431985.36,0,75.19,3.688,225.2351496,6.664,2012.0,5.0,11.0,4.0,3
14,2011-07-15,1953544.76,0,78.47,3.76,186.1399808,8.625,2011.0,7.0,15.0,4.0,999
1,2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,2010.0,5.0,14.0,4.0,999
13,2010-07-02,2018314.71,0,78.82,2.814,126.1392,7.951,2010.0,7.0,2.0,4.0,13
3,2010-06-18,364076.85,0,83.52,2.637,214.7858259,7.343,2010.0,6.0,18.0,4.0,3
4,2010-12-10,2302504.86,0,42.4,2.86,126.7934,7.127000000000002,2010.0,12.0,10.0,4.0,999
3,2012-06-22,419497.95,0,82.7,3.346,225.3068615,6.664,2012.0,6.0,22.0,4.0,3
19,2010-07-30,1366395.96,0,72.83,2.932,132.5983871,8.099,2010.0,7.0,30.0,4.0,19
8,2010-02-12,994801.4,1,33.34,2.548,214.62141890000004,6.299,2010.0,2.0,12.0,4.0,999
20,2010-12-31,1799737.79,1,28.85,3.179,204.6432267,7.484,2010.0,12.0,31.0,4.0,999
11,2010-11-26,1757242.51,1,69.9,2.735,215.0614025,7.564,2010.0,11.0,26.0,4.0,999
7,2012-04-20,457340.06,0,39.3,3.936,197.7227385,8.09,2012.0,4.0,20.0,4.0,7
8,2010-09-17,836707.85,0,75.32,2.582,214.8785562,6.315,2010.0,9.0,17.0,4.0,999
5,2011-07-29,275142.17,0,89.42,3.682,216.0464364,6.529,2011.0,7.0,29.0,4.0,5
7,2012-09-07,597876.55,1,57.84,3.596,198.0950484,7.872000000000001,2012.0,9.0,7.0,4.0,7
3,2011-11-18,398838.97,0,63.91,3.3080000000000003,221.6432852,7.197,2011.0,11.0,18.0,4.0,3
16,2010-07-09,614253.33,0,61.79,2.7110000000000003,189.5231276,6.867999999999999,2010.0,7.0,9.0,4.0,999
13,2011-08-12,1970341.38,0,75.95,3.606,129.2015806,6.877000000000002,2011.0,8.0,12.0,4.0,13
13,2012-03-16,2025582.62,0,52.5,3.529,130.82619350000002,6.104,2012.0,3.0,16.0,4.0,13
4,2011-07-22,2036231.39,0,82.84,3.627,129.1507742,5.644,2011.0,7.0,22.0,4.0,999
6,2011-04-22,1639358.93,0,74.24,3.807,217.0146941,6.855,2011.0,4.0,22.0,4.0,999
7,2012-05-25,532739.77,0,50.6,3.804,197.5886046,8.09,2012.0,5.0,25.0,4.0,7
3,2010-06-04,396968.8,0,78.53,2.705,214.4958382,7.343,2010.0,6.0,4.0,4.0,3
3,2012-10-19,424513.08,0,73.44,3.594,226.9688442,6.034,2012.0,10.0,19.0,4.0,3
14,2010-06-18,2248645.59,0,72.62,2.78,182.4424199,8.899,2010.0,6.0,18.0,4.0,999
19,2012-04-20,1255087.26,0,55.2,4.17,137.9230667,8.15,2012.0,4.0,20.0,4.0,19
